trace_id,seed,condition,pattern_label,config_hash,tempo_req,tempo_eff,tempo_req_oob,tempo_eff_oob,tempo_clamped,tempo_delta,gain_req,gain_eff,gain_req_oob,gain_eff_oob,gain_clamped,gain_delta,gain_unit,accent_req,accent_eff,accent_req_oob,accent_eff_oob,accent_clamped,accent_delta,accent_pct_req,accent_pct_eff,integrated_lufs,lra_lu,onset_density_eps,peak_lufs,audio_path,session_report_path
batch_exploratory_0000,0,baseline,exploratory,,140,140,,,0,0,-3.7062252374558398,-3.7062252374558398,,,0,0.0,linear,0.584522003034866,0.584522003034866,,,0,0.0,58.4522003034866,58.4522003034866,-12.095930712109626,3.8179169083130695,1.45,-10.31855892842292,runs\baseline\batch_exploratory_0000\0\audio.wav,
batch_exploratory_0001,0,baseline,exploratory,,140,140,,,0,0,-3.8174196562937897,-3.8174196562937897,,,0,0.0,linear,0.6356612184249683,0.6356612184249683,,,0,0.0,63.56612184249683,63.56612184249683,-12.184608597600498,4.048438436956591,1.45,-10.277341102147226,runs\baseline\batch_exploratory_0001\0\audio.wav,
batch_exploratory_0002,0,baseline,exploratory,,140,140,,,0,0,-4.444220622962566,-4.444220622962566,,,0,0.0,linear,0.6147798742137347,0.6147798742137347,,,0,0.0,61.47798742137347,61.47798742137347,-12.795524605434496,3.9471768813006083,1.45,-10.932482507750416,runs\baseline\batch_exploratory_0002\0\audio.wav,
batch_exploratory_0003,0,baseline,exploratory,,139,139,,,0,0,-5.345754200624045,-5.345754200624045,,,0,0.0,linear,0.529902642559164,0.529902642559164,,,0,0.0,52.9902642559164,52.9902642559164,-13.752125161961226,3.3356182855055128,1.4166666666666667,-12.081925917401152,runs\baseline\batch_exploratory_0003\0\audio.wav,
batch_exploratory_0004,0,baseline,exploratory,,100,100,,,0,0,-7.2416606801426315,-7.2416606801426315,,,0,0.0,linear,0.6560499847607432,0.6560499847607432,,,0,0.0,65.60499847607431,65.60499847607431,-18.461466120620223,2.7256673644552833,1.0333333333333334,-16.879524226835372,runs\baseline\batch_exploratory_0004\0\audio.wav,
batch_exploratory_0005,0,baseline,exploratory,,140,140,,,0,0,-3.06155543381117,-3.06155543381117,,,0,0.0,linear,0.6289999999999749,0.6289999999999749,,,0,0.0,62.89999999999749,62.89999999999749,-11.465718340720967,4.050994480069015,1.45,-9.610283939435654,runs\baseline\batch_exploratory_0005\0\audio.wav,
batch_exploratory_0006,0,baseline,exploratory,,140,140,,,0,0,-4.1267632976812845,-4.1267632976812845,,,0,0.0,linear,0.5202890494719139,0.5202890494719139,,,0,0.0,52.02890494719139,52.02890494719139,-12.558499030860325,3.4146536525494007,1.45,-10.874681356487372,runs\baseline\batch_exploratory_0006\0\audio.wav,
batch_exploratory_0007,0,baseline,exploratory,,140,140,,,0,0,-3.0985691782332476,-3.0985691782332476,,,0,0.0,linear,0.507317073170761,0.507317073170761,,,0,0.0,50.7317073170761,50.7317073170761,-11.561952994938498,3.305199213764249,1.45,-9.926243152199643,runs\baseline\batch_exploratory_0007\0\audio.wav,
batch_exploratory_0008,0,baseline,exploratory,,100,100,,,0,0,-7.148070174607428,-7.148070174607428,,,0,0.0,linear,0.5964667596466742,0.5964667596466742,,,0,0.0,59.646675964667416,59.646675964667416,-18.50250743626856,2.483134516018115,1.0333333333333334,-16.933299781680553,runs\baseline\batch_exploratory_0008\0\audio.wav,
batch_exploratory_0009,0,baseline,exploratory,,140,140,,,0,0,-4.338178043619061,-4.338178043619061,,,0,0.0,linear,0.620522488553751,0.620522488553751,,,0,0.0,62.052248855375105,62.052248855375105,-12.705160944059775,3.929455000094025,1.45,-10.831933094293493,runs\baseline\batch_exploratory_0009\0\audio.wav,
