trace_id,seed,pattern_label,baseline_integrated_lufs,constrained_integrated_lufs,delta_integrated_lufs,baseline_lra_lu,constrained_lra_lu,delta_lra_lu,baseline_onset_density_eps,constrained_onset_density_eps,delta_onset_density_eps,tempo_clamped,gain_clamped,accent_clamped,tempo_delta,gain_delta,accent_delta
batch_exploratory_0026,0,exploratory,-17.804111297622658,-18.327414358953334,-0.523303061330676,1.9898121772062396,0.7166065211123751,-1.2732056560938645,1.15,1.2833333333333334,0.13333333333333353,1,0,1,12,0.0,-0.3903467666354451
batch_exploratory_0027,0,exploratory,-11.485074497716809,-13.768630431025516,-2.2835559333087065,3.8577585862170505,0.85652250715383,-3.0012360790632204,1.45,1.3,-0.1499999999999999,1,1,1,-14,-2.148289238802133,-0.4954500494560018
batch_exploratory_0028,0,exploratory,-17.87430601792226,-18.66493586276332,-0.7906298448410567,2.7897446060261153,0.7166065241413655,-2.07313808188475,1.1,1.2833333333333334,0.18333333333333335,1,0,1,17,0.0,-0.6067359369401607
batch_exploratory_0029,0,exploratory,-12.455280274200064,-13.768630431025516,-1.313350156825452,4.197722013088491,0.85652250715383,-3.341199505934661,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.0903412339569618,-0.5578872029774069
batch_exploratory_0030,0,exploratory,-18.81079886788858,-18.955562000661278,-0.1447631327726988,2.258797526753341,0.7166065235066661,-1.5421910032466748,1.0333333333333334,1.2833333333333334,0.25,1,1,1,24,0.38701530560692454,-0.386056380721428
batch_exploratory_0031,0,exploratory,-13.57873351609544,-13.918197259746353,-0.3394637436509136,3.1086637573978138,0.8565225082400545,-2.2521412491577593,1.3333333333333333,1.3,-0.033333333333333215,1,0,1,-7,0.0,-0.4716189207194593
batch_exploratory_0032,0,exploratory,-12.415387727318139,-13.768630431025516,-1.3532427037073766,3.9733435463387163,0.85652250715383,-3.1168210391848863,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.1280828029318952,-0.5212464589234812
batch_exploratory_0033,0,exploratory,-17.94468918638273,-18.58406582399253,-0.6393766376098,2.5255001412427696,0.7166065219153559,-1.8088936193274137,1.1,1.2833333333333334,0.18333333333333335,1,0,1,17,0.0,-0.5066039410616069
batch_exploratory_0034,0,exploratory,-11.541902209431017,-13.768630431025516,-2.226728221594499,3.4430113626072956,0.85652250715383,-2.5864888554534655,1.45,1.3,-0.1499999999999999,1,1,1,-14,-2.0385260495254975,-0.4338901381304443
batch_exploratory_0035,0,exploratory,-13.509521528762194,-13.768630431025516,-0.2591089022633213,4.039286055477817,0.85652250715383,-3.1827635483239867,1.45,1.3,-0.1499999999999999,1,1,1,-14,-0.052805989812868326,-0.5452074391988717
batch_exploratory_0036,0,exploratory,-14.142813740049775,-14.564103135255317,-0.42128939520554276,3.088520914654165,0.8567617786361268,-2.231759136018038,1.2166666666666666,1.2833333333333334,0.06666666666666687,1,0,1,4,0.0,-0.454975922953462
batch_exploratory_0037,0,exploratory,-12.244241655974202,-13.768630431025516,-1.5243887750513139,3.8108772923910355,0.85652250715383,-2.9543547852372054,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.34710328866688,-0.4768561484918652
batch_exploratory_0038,0,exploratory,-11.617900599278506,-13.768630431025516,-2.150729831747009,4.1669772438686525,0.85652250715383,-3.3104547367148225,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.946617688327596,-0.5387795275590694
batch_exploratory_0039,0,exploratory,-13.872481891573646,-14.312518045512741,-0.44003615393909534,3.4604436672662917,0.856522506193226,-2.6039211610730657,1.3166666666666667,1.3,-0.016666666666666607,1,0,1,-4,0.0,-0.5415996522494974
